t,V,amp_GM,amp_YL
2.0000,0.1000,1.175803e-14,1.472680e-14
4.0000,0.2000,1.411061e-14,1.662589e-14
6.0000,0.3000,2.771424e-14,2.598098e-14
8.0000,0.4000,4.182283e-14,2.981619e-14
10.0000,0.5000,4.030288e-14,3.025812e-14
12.0000,0.6000,5.438214e-14,4.137677e-14
14.0000,0.7000,5.777232e-14,4.631098e-14
16.0000,0.8000,5.153374e-14,4.751986e-14
18.0000,0.9000,5.142718e-14,5.690961e-14
20.0000,1.0000,6.018344e-14,7.328982e-14
22.0000,1.1000,6.419038e-14,8.083708e-14
24.0000,1.2000,6.272446e-14,8.406193e-14
26.0000,1.3000,6.447693e-14,6.419062e-14
28.0000,1.4000,6.722010e-14,7.713654e-14
30.0000,1.5000,1.011561e-13,7.636101e-14
32.0000,1.6000,7.785493e-14,9.995038e-14
34.0000,1.7000,8.486831e-14,7.917462e-14
36.0000,1.8000,1.059271e-13,1.164260e-13
38.0000,1.9000,7.973624e-14,9.191763e-14
40.0000,2.0000,1.199969e-13,9.180525e-14
42.0000,2.1000,1.034481e-13,1.005334e-13
44.0000,2.2000,1.013158e-13,1.365117e-13
46.0000,2.3000,1.122480e-13,1.163528e-13
48.0000,2.4000,1.261368e-13,1.221781e-13
50.0000,2.5000,1.111023e-13,1.307880e-13
52.0000,2.6000,1.223635e-13,1.278179e-13
54.0000,2.7000,1.617152e-13,1.416486e-13
56.0000,2.8000,1.162510e-13,1.748061e-13
58.0000,2.9000,1.511807e-13,1.534246e-13
60.0000,3.0000,1.435403e-13,1.171461e-13
62.0000,3.1000,1.369523e-13,1.998590e-13
64.0000,3.2000,1.559941e-13,1.611361e-13
66.0000,3.3000,1.538832e-13,1.298310e-13
68.0000,3.4000,1.601620e-13,1.547688e-13
70.0000,3.5000,1.344541e-13,1.591121e-13
72.0000,3.6000,1.659460e-13,1.951575e-13
74.0000,3.7000,1.339677e-13,1.634047e-13
76.0000,3.8000,1.625210e-13,1.818352e-13
78.0000,3.9000,1.543978e-13,1.608442e-13
80.0000,4.0000,1.508737e-13,1.527034e-13
82.0000,4.1000,1.482560e-13,2.055595e-13
84.0000,4.2000,1.276366e-13,1.858795e-13
86.0000,4.3000,1.266118e-13,1.573121e-13
88.0000,4.4000,2.022336e-13,1.580840e-13
90.0000,4.5000,2.046332e-13,1.837610e-13
92.0000,4.6000,2.132660e-13,1.908851e-13
94.0000,4.7000,1.894010e-13,1.487642e-13
96.0000,4.8000,2.349627e-13,1.654063e-13
98.0000,4.9000,1.776899e-13,2.380791e-13
100.0000,5.0000,2.483339e-13,1.998857e-13
102.0000,5.1000,1.793583e-13,1.884278e-13
104.0000,5.2000,2.179147e-13,2.075523e-13
106.0000,5.3000,2.052776e-13,1.879772e-13
108.0000,5.4000,1.821815e-13,1.690735e-13
110.0000,5.5000,2.037693e-13,2.053748e-13
