t,V,amp_GM,amp_YL
1.2000,0.0600,3.130455e-14,2.756221e-14
2.4000,0.1200,4.581983e-14,6.815744e-14
3.6000,0.1800,5.251318e-14,7.132853e-14
4.8000,0.2400,9.059319e-14,7.788048e-14
6.0000,0.3000,8.326952e-14,9.608036e-14
7.2000,0.3600,8.705574e-14,9.654257e-14
8.4000,0.4200,8.583361e-14,1.401407e-13
9.6000,0.4800,9.089777e-14,1.007352e-13
10.8000,0.5400,9.110723e-14,1.015700e-13
12.0000,0.6000,1.076884e-13,1.428695e-13
13.2000,0.6600,1.100547e-13,1.326217e-13
14.4000,0.7200,9.433060e-14,1.174820e-13
15.6000,0.7800,1.368111e-13,1.289447e-13
16.8000,0.8400,1.071430e-13,1.460447e-13
18.0000,0.9000,1.258731e-13,1.928900e-13
19.2000,0.9600,1.543684e-13,1.581346e-13
20.4000,1.0200,1.299350e-13,1.559255e-13
21.6000,1.0800,2.080587e-13,1.629369e-13
22.8000,1.1400,1.441841e-13,1.744486e-13
24.0000,1.2000,1.447017e-13,1.520529e-13
25.2000,1.2600,1.581695e-13,1.799112e-13
26.4000,1.3200,1.255417e-13,2.114797e-13
27.6000,1.3800,1.682724e-13,2.442160e-13
28.8000,1.4400,1.905699e-13,1.586525e-13
30.0000,1.5000,1.529428e-13,1.905336e-13
31.2000,1.5600,1.642447e-13,1.683518e-13
32.4000,1.6200,1.979755e-13,1.871026e-13
33.6000,1.6800,2.330762e-13,1.867516e-13
34.8000,1.7400,1.907600e-13,2.062118e-13
36.0000,1.8000,1.932276e-13,1.882960e-13
37.2000,1.8600,1.912690e-13,2.022504e-13
38.4000,1.9200,2.637661e-13,2.059470e-13
39.6000,1.9800,2.044521e-13,2.236974e-13
40.8000,2.0400,2.397028e-13,2.704334e-13
42.0000,2.1000,2.075763e-13,3.431929e-13
43.2000,2.1600,2.089019e-13,2.129948e-13
44.4000,2.2200,2.354409e-13,2.605685e-13
45.6000,2.2800,2.216933e-13,2.346307e-13
46.8000,2.3400,1.895565e-13,2.682040e-13
48.0000,2.4000,1.766853e-13,2.253122e-13
49.2000,2.4600,3.010886e-13,2.397143e-13
50.4000,2.5200,2.299773e-13,2.616625e-13
51.6000,2.5800,2.246470e-13,2.599922e-13
52.8000,2.6400,1.943861e-13,2.821356e-13
54.0000,2.7000,2.166417e-13,3.018202e-13
55.2000,2.7600,2.215231e-13,2.699718e-13
56.4000,2.8200,2.158607e-13,2.485098e-13
57.6000,2.8800,2.170332e-13,2.965685e-13
58.8000,2.9400,2.874417e-13,2.716291e-13
60.0000,3.0000,2.639642e-13,2.846980e-13
