# ux Rx
-3.33333333e+00 -4.73736483e+05
-6.66666667e+00 -9.35883120e+05
-1.00000000e+01 -1.38664359e+06
-1.33333333e+01 -1.82622797e+06
-1.66666667e+01 -2.25485257e+06
-2.00000000e+01 -2.55871920e+06
-2.33333333e+01 -2.77886869e+06
-2.66666667e+01 -2.92551605e+06
-3.00000000e+01 -3.04175625e+06
-3.33333333e+01 -3.15637266e+06
-3.66666667e+01 -3.26998596e+06
-4.00000000e+01 -3.38308735e+06
-4.33333333e+01 -3.49176271e+06
-4.66666667e+01 -3.58382997e+06
-5.00000000e+01 -3.66471576e+06
-5.33333333e+01 -3.74627162e+06
-5.66666667e+01 -3.82874766e+06
-6.00000000e+01 -3.91224595e+06
-6.33333333e+01 -3.98180772e+06
-6.66666667e+01 -4.05089882e+06
-7.00000000e+01 -4.12165204e+06
-7.33333333e+01 -4.19425636e+06
-7.66666667e+01 -4.26742473e+06
-8.00000000e+01 -4.32075941e+06
-8.33333333e+01 -4.37316454e+06
-8.66666667e+01 -4.42493787e+06
-9.00000000e+01 -4.47613749e+06
-9.33333333e+01 -4.52682287e+06
-9.66666667e+01 -4.57705497e+06
-1.00000000e+02 -4.62689606e+06
-1.03333333e+02 -4.67640962e+06
-1.06666667e+02 -4.72566012e+06
-1.10000000e+02 -4.77471288e+06
-1.13333333e+02 -4.82363388e+06
-1.16666667e+02 -4.87248959e+06
-1.20000000e+02 -4.92134682e+06
-1.23333333e+02 -4.97027268e+06
-1.26666667e+02 -5.01933444e+06
-1.30000000e+02 -5.06827947e+06
-1.33333333e+02 -5.11683459e+06
-1.36666667e+02 -5.16512311e+06
-1.40000000e+02 -5.21348725e+06
-1.43333333e+02 -5.26232091e+06
-1.46666667e+02 -5.31169148e+06
-1.50000000e+02 -5.36166611e+06
-1.53333333e+02 -5.41231166e+06
-1.56666667e+02 -5.46369462e+06
-1.60000000e+02 -5.51588097e+06
-1.63333333e+02 -5.56893607e+06
-1.66666667e+02 -5.62292454e+06
-1.70000000e+02 -5.67791009e+06
-1.73333333e+02 -5.73395537e+06
-1.76666667e+02 -5.79112178e+06
-1.80000000e+02 -5.84946933e+06
-1.83333333e+02 -5.90905643e+06
-1.86666667e+02 -5.96993970e+06
-1.90000000e+02 -6.03217939e+06
-1.93333333e+02 -6.09588146e+06
-1.96666667e+02 -6.16120808e+06
-2.00000000e+02 -6.22809930e+06
