# ux Rx
-4.00000000e+00 -1.09459167e+05
-8.00000000e+00 -1.36354203e+05
-1.20000000e+01 -1.95536312e+05
-1.60000000e+01 -2.76447620e+05
-2.00000000e+01 -3.38983009e+05
-2.40000000e+01 -3.73432414e+05
-2.80000000e+01 -4.06146255e+05
-3.20000000e+01 -4.34650599e+05
-3.60000000e+01 -3.47545470e+05
-4.00000000e+01 -1.83838626e+05
-4.40000000e+01 -1.23390495e+05
-4.80000000e+01 -2.59389930e+04
-5.20000000e+01 -4.17932565e+04
-5.60000000e+01 -6.37519530e+04
-6.00000000e+01 -2.12627783e+04
-6.40000000e+01 -5.61003044e+04
-6.80000000e+01 -8.18315225e+04
-7.20000000e+01 4.31277667e+04
-7.60000000e+01 1.58709941e+05
-8.00000000e+01 1.55225048e+05
-8.40000000e+01 1.21856317e+05
-8.80000000e+01 3.26677951e+03
-9.20000000e+01 5.92416738e+03
-9.60000000e+01 -1.06424595e+05
-1.00000000e+02 -7.40225740e+04
-1.04000000e+02 -2.45369430e+05
-1.08000000e+02 -2.21957275e+05
-1.12000000e+02 -2.70395875e+05
-1.16000000e+02 -3.10954528e+05
-1.20000000e+02 -5.22740219e+05
-1.24000000e+02 -6.62478649e+05
-1.28000000e+02 -6.58005906e+05
-1.32000000e+02 -5.71904928e+05
-1.36000000e+02 -5.56816937e+05
-1.40000000e+02 -5.60817460e+05
-1.44000000e+02 -4.70178977e+05
-1.48000000e+02 -6.16668959e+05
-1.52000000e+02 -5.48799582e+05
-1.56000000e+02 -7.48292719e+05
-1.60000000e+02 -9.09072811e+05
-1.64000000e+02 -7.56962688e+05
-1.68000000e+02 -6.99557602e+05
-1.72000000e+02 -9.43003769e+05
-1.76000000e+02 -1.23068197e+06
-1.80000000e+02 -1.07527228e+06
-1.84000000e+02 -1.06736540e+06
-1.88000000e+02 -1.40468215e+06
-1.92000000e+02 -1.82265460e+06
-1.96000000e+02 -1.90887711e+06
-2.00000000e+02 -2.00920989e+06
