# ux Rx
-3.33333333e+00 -4.73736483e+05
-6.66666667e+00 -9.35883120e+05
-1.00000000e+01 -1.31114378e+06
-1.33333333e+01 -1.47705866e+06
-1.66666667e+01 -1.57138940e+06
-2.00000000e+01 -1.66296339e+06
-2.33333333e+01 -1.73876899e+06
-2.66666667e+01 -1.79251541e+06
-3.00000000e+01 -1.84654543e+06
-3.33333333e+01 -1.88377517e+06
-3.66666667e+01 -1.92050088e+06
-4.00000000e+01 -1.95843925e+06
-4.33333333e+01 -1.99784270e+06
-4.66666667e+01 -2.03893157e+06
-5.00000000e+01 -2.08190418e+06
-5.33333333e+01 -2.12671430e+06
-5.66666667e+01 -2.16264667e+06
-6.00000000e+01 -2.19655555e+06
-6.33333333e+01 -2.23034993e+06
-6.66666667e+01 -2.26328103e+06
-7.00000000e+01 -2.29492123e+06
-7.33333333e+01 -2.32629883e+06
-7.66666667e+01 -2.35760505e+06
-8.00000000e+01 -2.38885751e+06
-8.33333333e+01 -2.42007419e+06
-8.66666667e+01 -2.45127296e+06
-9.00000000e+01 -2.48247113e+06
-9.33333333e+01 -2.51368532e+06
-9.66666667e+01 -2.54493130e+06
-1.00000000e+02 -2.57608164e+06
-1.03333333e+02 -2.60709724e+06
-1.06666667e+02 -2.63818773e+06
-1.10000000e+02 -2.66936651e+06
-1.13333333e+02 -2.70064676e+06
-1.16666667e+02 -2.73204154e+06
-1.20000000e+02 -2.76356385e+06
-1.23333333e+02 -2.79522673e+06
-1.26666667e+02 -2.82704324e+06
-1.30000000e+02 -2.85902649e+06
-1.33333333e+02 -2.89118958e+06
-1.36666667e+02 -2.92354557e+06
-1.40000000e+02 -2.95610742e+06
-1.43333333e+02 -2.98888785e+06
-1.46666667e+02 -3.02189934e+06
-1.50000000e+02 -3.05515391e+06
-1.53333333e+02 -3.08866311e+06
-1.56666667e+02 -3.12243782e+06
-1.60000000e+02 -3.15648818e+06
-1.63333333e+02 -3.19082344e+06
-1.66666667e+02 -3.22545186e+06
-1.70000000e+02 -3.26038061e+06
-1.73333333e+02 -3.29561571e+06
-1.76666667e+02 -3.33116199e+06
-1.80000000e+02 -3.36702308e+06
-1.83333333e+02 -3.40320150e+06
-1.86666667e+02 -3.43969879e+06
-1.90000000e+02 -3.47648544e+06
-1.93333333e+02 -3.51356882e+06
-1.96666667e+02 -3.55114596e+06
-2.00000000e+02 -3.58936515e+06
