# ux Rx_phys
-6.00000000e+00 -3.20504979e+02
-1.20000000e+01 -6.83340318e+02
-1.80000000e+01 -9.33380307e+02
-2.40000000e+01 -1.20223466e+03
-3.00000000e+01 -1.41743373e+03
-3.60000000e+01 -1.64093515e+03
-4.20000000e+01 -1.85222168e+03
-4.80000000e+01 -1.96650232e+03
-5.40000000e+01 -2.26109402e+03
-6.00000000e+01 -2.38642154e+03
-6.60000000e+01 -2.63216717e+03
-7.20000000e+01 -2.76770936e+03
-7.80000000e+01 -2.97810546e+03
-8.40000000e+01 -3.11051098e+03
-9.00000000e+01 -3.28107340e+03
-9.60000000e+01 -3.40376440e+03
-1.02000000e+02 -3.54781738e+03
-1.08000000e+02 -3.64598344e+03
-1.14000000e+02 -3.77779002e+03
-1.20000000e+02 -3.87391450e+03
-1.26000000e+02 -3.97430990e+03
-1.32000000e+02 -4.12427112e+03
-1.38000000e+02 -4.19464054e+03
-1.44000000e+02 -4.29310721e+03
-1.50000000e+02 -4.36377278e+03
-1.56000000e+02 -4.40575128e+03
-1.62000000e+02 -4.46162922e+03
-1.68000000e+02 -4.51117708e+03
-1.74000000e+02 -4.55993222e+03
-1.80000000e+02 -4.57765740e+03
-1.86000000e+02 -4.63675860e+03
-1.92000000e+02 -4.66164468e+03
-1.98000000e+02 -4.62470642e+03
-2.04000000e+02 -4.66962396e+03
-2.10000000e+02 -4.55884644e+03
-2.16000000e+02 -4.55155390e+03
-2.22000000e+02 -4.35054447e+03
-2.28000000e+02 -3.98994296e+03
-2.34000000e+02 -3.64207965e+03
-2.40000000e+02 -3.75093395e+03
-2.46000000e+02 -3.70257816e+03
-2.52000000e+02 -3.51981511e+03
-2.58000000e+02 -3.49868046e+03
-2.64000000e+02 -3.46411022e+03
-2.70000000e+02 -3.31361168e+03
-2.76000000e+02 -3.45899337e+03
-2.82000000e+02 -3.69491901e+03
-2.88000000e+02 -3.86504483e+03
-2.94000000e+02 -3.97952873e+03
-3.00000000e+02 -4.23973188e+03
