configuration,nt,nodes,max_displacement,ratio_to_paper
deck_before_fix_cubic,24,216,1.700565e-05,0.9319185664182376
deck_before_fix_cubic,36,468,5.51057e-05,3.019821350284963
deck_before_fix_cubic,48,816,8.141265e-05,4.46145604997808
deck_before_fix_cubic,64,1344,0.0001118897,6.1316144234984655
deck_before_fix_cubic,80,2160,0.0001253762,6.870681718544499
paper_quadratic,36,468,9.401522e-06,0.51520331
paper_quadratic,48,816,1.231711e-05,0.6749841078474353
paper_quadratic,64,1344,1.644981e-05,0.9014582419991233
paper_quadratic,80,2160,1.646691e-05,0.9023953309951777
paper_quadratic,96,3168,1.617772e-05,0.8865475668566419
paper_quadratic,120,4680,1.74523e-05,0.9563952213941254
paper_quadratic,160,8480,1.736834e-05,0.9517941692240246
