bc_mode,coefficient_displacement_mm,physical_displacement_mm,reported_generalized_reaction
coefficient_KBC,6.0,2.93436144,348.707515
coefficient_KBC,12.0,5.86972934,565.008798
coefficient_KBC,18.0,8.81996852,976.108717
coefficient_KBC,24.0,11.723291,1587.25857
coefficient_KBC,30.0,14.4646042,2214.209
coefficient_KBC,36.0,16.9725608,2802.36326
coefficient_KBC,42.0,19.2509083,3155.56466
coefficient_KBC,48.0,21.3467079,3236.2731
coefficient_KBC,54.0,23.26936,3205.73879
coefficient_KBC,60.0,24.9855942,3118.47951
coefficient_KBC,66.0,26.5053467,2950.31344
coefficient_KBC,72.0,27.9276082,2760.98656
coefficient_KBC,78.0,29.3712698,2485.70672
coefficient_KBC,84.0,30.8967814,2236.41633
coefficient_KBC,90.0,32.4974155,2052.20904
coefficient_KBC,96.0,34.1831117,1969.39292
coefficient_KBC,102.0,36.0052329,2256.31702
coefficient_KBC,108.0,37.9729917,2835.16822
coefficient_KBC,114.0,39.99238,3531.86158
coefficient_KBC,120.0,41.9436221,3786.22999
coefficient_KBC,126.0,43.8065821,3555.59278
coefficient_KBC,132.0,45.6525332,3221.66259
coefficient_KBC,138.0,47.5635641,2809.21919
coefficient_KBC,144.0,49.5838628,2462.12119
coefficient_KBC,150.0,51.6850531,2306.13467
coefficient_KBC,156.0,53.7671929,2539.8949
coefficient_KBC,162.0,55.6284774,2790.07801
collocation_KBC,24.474885,12.0,1998.26673
collocation_KBC,49.2952537,24.0,8647.01555
collocation_KBC,76.9052319,36.0,16546.9563
collocation_KBC,110.382831,48.0,21643.4583
collocation_KBC,150.248284,60.0,23945.2002
collocation_KBC,194.131576,72.0,24357.8049
collocation_KBC,238.4268,84.0,25238.6209
collocation_KBC,281.028293,96.0,27318.1338
collocation_KBC,322.336878,108.0,29085.5097
collocation_KBC,364.181625,120.0,32224.257
collocation_KBC,409.263691,132.0,34072.9537
collocation_KBC,458.802436,144.0,32910.011
collocation_KBC,509.924459,156.0,30820.3935
